in-degree distribution (probability density function of the degree in logarithmic bins) 
16	10.2781

in-degree distribution (degree-occurrences) 
16	1


--------------------------------------
out-degree distribution (probability density function of the degree in logarithmic bins) 
16	10.2781

out-degree distribution (degree-occurrences) 
16	1


--------------------------------------
community distribution (size-occurrences)
32	1


--------------------------------------
mixing parameter (in-links)
0.0625	0.359375
0.125	0.640625

--------------------------------------
mixing parameter (out-links)
0	0.03125
0.0625	0.375
0.125	0.53125
0.1875	0.046875
0.25	0.015625

--------------------------------------
mixing parameter (weights)
0.0976326	0.0078125
0.0984518	0.0078125
0.0996994	0.0078125
0.100008	0.953125
0.102283	0.0078125
0.104331	0.0078125
0.112067	0.0078125

--------------------------------------
internal weights (weight-occurrences)
1.12544	0.00108814
1.16705	0.00380849
1.20303	0.00054407
1.23224	0.0054407
1.27818	0.0163221
1.30814	0.0408052
1.34308	0.118063
1.37983	0.211099
1.41319	0.220892
1.44886	0.178455
1.48416	0.124592
1.51851	0.0375408
1.55843	0.00924918
1.59658	0.00652884
1.63738	0.00380849
1.6652	0.00924918
1.69601	0.00489663
1.74876	0.00054407
1.7785	0.00326442
1.80696	0.00380849

--------------------------------------
external weights (weight-occurrences)
0.0358013	0.152381
0.343632	0.0333333
0.5715	0.0809524
0.786999	0.0809524
1.02953	0.0904762
1.26209	0.0857143
1.48156	0.0714286
1.68921	0.0904762
1.9212	0.0857143
2.16943	0.0571429
2.33265	0.0333333
2.59211	0.0619048
2.82214	0.0333333
3.08518	0.0047619
3.58814	0.0047619
3.69457	0.00952381
4.29495	0.0047619
4.50521	0.0190476
