1	3 
2	2 
3	2 
4	1 
5	4 
6	1 
7	2 
8	4 
9	1 
10	3 
11	1 
12	3 
13	1 
14	2 
15	4 
16	2 
17	3 
18	3 
19	1 
20	4 
21	1 
22	3 
23	4 
24	3 
25	2 
26	3 
27	4 
28	1 
29	1 
30	1 
31	3 
32	2 
33	1 
34	4 
35	1 
36	3 
37	2 
38	2 
39	1 
40	2 
41	3 
42	2 
43	1 
44	4 
45	1 
46	3 
47	3 
48	4 
49	1 
50	4 
51	3 
52	2 
53	4 
54	1 
55	3 
56	4 
57	4 
58	3 
59	1 
60	3 
61	1 
62	2 
63	4 
64	2 
65	2 
66	1 
67	1 
68	4 
69	1 
70	4 
71	4 
72	3 
73	4 
74	2 
75	1 
76	1 
77	2 
78	2 
79	4 
80	2 
81	1 
82	4 
83	4 
84	2 
85	2 
86	3 
87	4 
88	3 
89	1 
90	4 
91	4 
92	3 
93	3 
94	3 
95	2 
96	2 
97	1 
98	3 
99	3 
100	2 
101	2 
102	4 
103	3 
104	4 
105	2 
106	3 
107	1 
108	4 
109	4 
110	2 
111	2 
112	4 
113	1 
114	3 
115	1 
116	2 
117	1 
118	4 
119	2 
120	4 
121	2 
122	3 
123	3 
124	4 
125	3 
126	1 
127	2 
128	3 
