1	6	5.49743
1	12	5.17805
1	14	5.54168
1	15	5.81514
1	19	5.44745
1	34	5.43095
1	45	11.3191
1	52	5.50042
1	56	5.50713
1	60	5.69076
1	68	5.41225
1	79	5.47169
1	85	5.47555
1	111	5.77823
1	114	5.18581
1	122	5.49439
2	6	5.61193
2	8	5.61384
2	15	5.92963
2	22	5.59262
2	33	5.5375
2	36	5.5899
2	40	5.83944
2	52	5.61491
2	56	5.62162
2	79	5.58618
2	82	5.62917
2	85	5.59004
2	97	6.9391
2	108	3.71136
2	114	5.3003
2	122	5.60888
3	10	5.7446
3	16	5.45461
3	20	5.96218
3	32	6.90763
3	46	5.7689
3	47	5.76575
3	72	5.76155
3	76	6.00659
3	81	5.4872
3	87	5.77456
3	94	5.74529
3	100	5.74171
3	103	5.51122
3	110	5.98389
3	117	5.71343
3	123	4.83949
4	2	5.6522
4	6	5.6776
4	18	5.94374
4	19	5.62762
4	25	5.91252
4	36	5.65557
4	40	5.90511
4	50	5.66221
4	53	5.94089
4	56	5.68729
4	60	5.87092
4	79	5.65186
4	96	5.91091
4	99	3.3719
4	111	5.9584
4	128	5.88922
5	6	7.22791
5	27	5.64223
5	38	5.63243
5	48	5.40082
5	54	5.4259
5	56	5.36503
5	62	5.41073
5	77	5.63521
5	80	5.92692
5	83	5.95582
5	91	5.98713
5	104	5.94386
5	105	5.4195
5	108	5.9544
5	119	5.41562
5	121	5.69465
6	4	5.78871
6	14	5.63648
6	15	5.90995
6	19	5.54226
6	21	5.00463
6	33	5.51782
6	34	5.52575
6	36	5.57021
6	39	7.16152
6	50	5.57686
6	56	5.60193
6	60	5.78556
6	82	5.60949
6	96	5.82556
6	114	5.28062
6	126	5.86226
7	9	5.87346
7	15	4.27865
7	37	5.52216
7	43	5.88006
7	55	5.47869
7	60	5.13433
7	61	5.52916
7	63	5.82959
7	78	5.84114
7	86	5.79359
7	89	5.56871
7	90	5.53874
7	97	5.46559
7	98	5.78631
7	101	5.7411
7	125	5.81208
8	1	5.32227
8	12	5.2843
8	18	5.86983
8	19	5.55371
8	22	5.58438
8	36	5.58166
8	50	5.5883
8	53	5.86698
8	56	5.61338
8	60	5.79701
8	62	8.44596
8	68	5.51851
8	95	5.49373
8	96	5.837
8	122	5.60064
8	126	5.87371
9	7	5.56921
9	28	5.95841
9	31	5.65316
9	37	5.63121
9	45	5.36444
9	54	13.8274
9	55	5.58775
9	61	5.63822
9	63	5.93865
9	64	5.87258
9	77	4.56007
9	78	5.9502
9	86	5.90265
9	93	5.31913
9	107	5.62232
9	112	5.62888
10	16	5.29399
10	17	5.58338
10	20	5.80156
10	23	5.39746
10	30	5.93859
10	31	3.93359
10	47	5.60514
10	57	5.87809
10	76	5.84597
10	87	5.61394
10	100	5.5811
10	102	5.26542
10	110	5.82327
10	111	5.22427
10	116	5.36361
10	128	5.61612
11	27	5.43176
11	32	5.48805
11	35	5.53429
11	38	5.42197
11	48	5.19036
11	54	5.21543
11	70	5.44603
11	71	5.71504
11	73	5.45494
11	83	5.74536
