1	4 
2	1 
3	1 
4	4 
5	4 
6	4 
7	3 
8	4 
9	1 
10	1 
11	4 
12	2 
13	4 
14	4 
15	3 
16	3 
17	3 
18	2 
19	1 
20	4 
21	2 
22	4 
23	2 
24	3 
25	3 
26	2 
27	1 
28	4 
29	1 
30	4 
31	4 
32	2 
33	2 
34	2 
35	4 
36	2 
37	3 
38	1 
39	4 
40	3 
41	3 
42	1 
43	2 
44	3 
45	3 
46	1 
47	4 
48	1 
49	2 
50	4 
51	3 
52	4 
53	2 
54	2 
55	2 
56	1 
57	3 
58	4 
59	1 
60	4 
61	3 
62	2 
63	3 
64	1 
65	1 
66	2 
67	2 
68	3 
69	3 
70	4 
71	1 
72	1 
73	4 
74	4 
75	2 
76	1 
77	1 
78	1 
79	1 
80	3 
81	3 
82	1 
83	4 
84	1 
85	3 
86	1 
87	2 
88	2 
89	2 
90	4 
91	2 
92	2 
93	1 
94	3 
95	3 
96	4 
97	2 
98	3 
99	2 
100	4 
101	2 
102	2 
103	4 
104	1 
105	4 
106	3 
107	4 
108	1 
109	2 
110	3 
111	1 
112	1 
113	3 
114	3 
115	4 
116	3 
117	2 
118	1 
119	4 
120	2 
121	3 
122	3 
123	1 
124	3 
125	1 
126	2 
127	3 
128	2 
